# frame,plate_center
# stamp,1.75639e+09
index,x,y,z
0,0.429764,1.10033,0.05
1,0.403991,1.10235,0.05
2,0.365585,1.10235,0.05
3,0.339813,1.10235,0.05
4,0.29787,1.10083,0.05
5,0.272097,1.09831,0.05
6,0.23167,1.09628,0.05
7,0.205898,1.09477,0.05
8,0.177093,1.09123,0.05
9,0.148289,1.08921,0.05
10,0.117969,1.08719,0.05
11,0.0921962,1.08719,0.05
12,0.0553063,1.20847,0.05
13,0.029534,1.20847,0.05
14,0.00376159,1.20595,0.05
15,-0.0280749,1.08567,0.05
16,-0.0538473,1.08517,0.05
17,-0.0796196,1.08466,0.05
